,Country,07-14-2020_confirmed,07-14-2020_deaths,07-14-2020_recovered
0,Algeria,20216,1028,14295
1,Angola,541,26,118
2,Benin,1378,26,557
3,Burkina Faso,1037,53,873
4,Cabo Verde,1722,19,772
5,Cameroon,15173,359,11928
6,Central African Republic,4356,53,1229
7,Chad,884,75,798
8,Congo (Brazzaville),2028,47,589
9,Congo (Kinshasa),8135,190,3948
10,Cote d'Ivoire,13037,87,6908
11,Djibouti,4979,56,4743
12,Egypt,83930,4008,25544
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1434,20,695
16,Ethiopia,7969,139,2430
17,Gabon,6026,46,3475
18,Gambia,64,3,34
19,Ghana,24988,139,21067
20,Guinea,6200,38,4951
21,Kenya,10791,202,3017
22,Liberia,1024,51,439
23,Madagascar,5343,39,2646
24,Mauritania,5518,147,2664
25,Mauritius,342,10,330
26,Morocco,16097,257,13442
27,Namibia,864,2,29
28,Niger,1099,68,992
29,Nigeria,33616,754,13792
30,Rwanda,1416,4,737
31,Senegal,8243,150,5580
32,Seychelles,100,0,11
33,Somalia,3076,93,1380
34,South Africa,298292,4346,146279
35,Sudan,10417,659,5579
36,Tanzania,509,21,183
37,Togo,731,15,528
38,Tunisia,1306,50,1087
39,Uganda,1040,0,984
40,Zambia,1895,42,1412
41,Zimbabwe,1064,20,343
42,Mozambique,1268,9,373
43,Libya,1563,42,370
44,Guinea-Bissau,1842,26,773
45,Mali,2423,121,1748
46,Botswana,399,1,38
47,Burundi,269,1,207
48,Sierra Leone,1651,64,1190
49,Malawi,2497,40,795
50,South Sudan,2148,41,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,732,14,286
53,Comoros,321,7,302
54,Lesotho,256,3,48
