,Country,07-15-2020_confirmed,07-15-2020_deaths,07-15-2020_recovered
0,Algeria,20770,1040,14792
1,Angola,576,27,124
2,Benin,1378,26,557
3,Burkina Faso,1038,53,882
4,Cabo Verde,1780,19,850
5,Cameroon,15173,359,11928
6,Central African Republic,4362,53,1261
7,Chad,885,75,799
8,Congo (Brazzaville),2222,47,589
9,Congo (Kinshasa),8163,192,3983
10,Cote d'Ivoire,13403,87,7146
11,Djibouti,4985,56,4765
12,Egypt,84843,4067,26135
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1489,20,724
16,Ethiopia,8181,146,2430
17,Gabon,6121,46,3664
18,Gambia,64,3,34
19,Ghana,25430,139,21511
20,Guinea,6276,38,4981
21,Kenya,11252,209,3068
22,Liberia,1056,51,447
23,Madagascar,5605,43,2811
24,Mauritania,5564,149,2830
25,Mauritius,343,10,331
26,Morocco,16262,259,13821
27,Namibia,960,2,31
28,Niger,1100,69,993
29,Nigeria,34259,760,13999
30,Rwanda,1435,4,752
31,Senegal,8369,153,5605
32,Seychelles,100,0,27
33,Somalia,3083,93,1425
34,South Africa,311049,4453,160693
35,Sudan,10527,668,5601
36,Tanzania,509,21,183
37,Togo,740,15,534
38,Tunisia,1319,50,1091
39,Uganda,1043,0,1004
40,Zambia,1895,42,1412
41,Zimbabwe,1089,20,395
42,Mozambique,1330,9,375
43,Libya,1589,43,373
44,Guinea-Bissau,1842,26,773
45,Mali,2433,121,1764
46,Botswana,399,1,38
47,Burundi,269,1,207
48,Sierra Leone,1668,64,1200
49,Malawi,2614,43,1005
50,South Sudan,2153,41,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,737,14,322
53,Comoros,321,7,302
54,Lesotho,256,3,48
