,Country,07-20-2020_confirmed,07-20-2020_deaths,07-20-2020_recovered
0,Algeria,23691,1087,16400
1,Angola,749,29,221
2,Benin,1602,31,782
3,Burkina Faso,1065,53,901
4,Cabo Verde,2071,21,1063
5,Cameroon,16157,373,13728
6,Central African Republic,4548,55,1400
7,Chad,889,75,801
8,Congo (Brazzaville),2851,50,666
9,Congo (Kinshasa),8443,194,4335
10,Cote d'Ivoire,14312,92,8659
11,Djibouti,5020,56,4868
12,Egypt,88402,4352,28924
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1826,23,850
16,Ethiopia,10207,170,2430
17,Gabon,6433,46,4034
18,Gambia,112,4,57
19,Ghana,28430,153,24901
20,Guinea,6590,40,5591
21,Kenya,13771,238,5616
22,Liberia,1107,70,547
23,Madagascar,7153,62,3788
24,Mauritania,5923,155,3632
25,Mauritius,343,10,332
26,Morocco,17562,276,15132
27,Namibia,1344,4,42
28,Niger,1105,69,1014
29,Nigeria,37225,801,15333
30,Rwanda,1629,5,838
31,Senegal,8948,170,6002
32,Seychelles,108,0,27
33,Somalia,3130,93,1462
34,South Africa,373628,5173,194865
35,Sudan,10992,693,5707
36,Tanzania,509,21,183
37,Togo,783,15,554
38,Tunisia,1381,50,1099
39,Uganda,1069,0,1071
40,Zambia,3326,128,1620
41,Zimbabwe,1713,26,472
42,Mozambique,1507,11,505
43,Libya,1980,49,441
44,Guinea-Bissau,1949,26,803
45,Mali,2475,121,1851
46,Botswana,522,1,48
47,Burundi,322,1,207
48,Sierra Leone,1711,66,1261
49,Malawi,2992,62,1153
50,South Sudan,2211,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,746,14,536
53,Comoros,334,7,313
54,Lesotho,359,6,69
