,Country,07-07-2020_confirmed,07-07-2020_deaths,07-07-2020_recovered
0,Algeria,16879,968,12094
1,Angola,386,21,117
2,Benin,1199,21,333
3,Burkina Faso,1003,53,860
4,Cabo Verde,1499,18,724
5,Cameroon,14916,359,11525
6,Central African Republic,4071,52,976
7,Chad,873,74,788
8,Congo (Brazzaville),1557,44,501
9,Congo (Kinshasa),7432,182,3226
10,Cote d'Ivoire,11194,76,5487
11,Djibouti,4878,55,4621
12,Egypt,77279,3489,21718
13,Equatorial Guinea,3071,51,842
14,Eritrea,215,0,56
15,Eswatini,1056,14,570
16,Ethiopia,5846,103,2430
17,Gabon,5743,46,2574
18,Gambia,61,3,27
19,Ghana,21968,129,17156
20,Guinea,5636,34,4542
21,Kenya,8250,167,2504
22,Liberia,917,41,394
23,Madagascar,3472,33,1187
24,Mauritania,5024,135,1944
25,Mauritius,342,10,330
26,Morocco,14607,240,10639
27,Namibia,539,0,25
28,Niger,1094,68,974
29,Nigeria,29789,669,12108
30,Rwanda,1172,3,595
31,Senegal,7547,137,5023
32,Seychelles,81,0,11
33,Somalia,3015,92,1096
34,South Africa,215855,3502,102299
35,Sudan,9997,622,5034
36,Tanzania,509,21,183
37,Togo,689,15,467
38,Tunisia,1205,50,1049
39,Uganda,971,0,896
40,Zambia,1895,42,1348
41,Zimbabwe,787,9,201
42,Mozambique,1040,8,280
43,Libya,1182,35,295
44,Guinea-Bissau,1790,25,760
45,Mali,2348,119,1556
46,Botswana,314,1,31
47,Burundi,191,1,118
48,Sierra Leone,1572,63,1088
49,Malawi,1818,19,317
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,724,13,279
53,Comoros,311,7,266
54,Lesotho,91,0,11
