,Country,07-10-2020_confirmed,07-10-2020_deaths,07-10-2020_recovered
0,Algeria,18242,996,13124
1,Angola,458,23,117
2,Benin,1285,23,333
3,Burkina Faso,1020,53,862
4,Cabo Verde,1591,19,730
5,Cameroon,14916,359,11525
6,Central African Republic,4259,53,1142
7,Chad,874,74,789
8,Congo (Brazzaville),2028,47,589
9,Congo (Kinshasa),7905,189,3513
10,Cote d'Ivoire,12052,81,6080
11,Djibouti,4968,56,4689
12,Egypt,80235,3702,23274
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1257,18,633
16,Ethiopia,7120,124,2430
17,Gabon,5942,46,3004
18,Gambia,64,3,34
19,Ghana,23834,135,19212
20,Guinea,5969,37,4732
21,Kenya,9448,181,2733
22,Liberia,963,47,400
23,Madagascar,4143,34,2183
24,Mauritania,5203,146,2111
25,Mauritius,342,10,330
26,Morocco,15328,243,11827
27,Namibia,668,1,25
28,Niger,1099,68,978
29,Nigeria,31323,709,12795
30,Rwanda,1252,3,635
31,Senegal,7882,145,5311
32,Seychelles,100,0,11
33,Somalia,3038,92,1209
34,South Africa,250687,3860,118232
35,Sudan,10204,649,5277
36,Tanzania,509,21,183
37,Togo,710,15,494
38,Tunisia,1240,50,1067
39,Uganda,1006,0,938
40,Zambia,1895,42,1348
41,Zimbabwe,942,13,320
42,Mozambique,1111,9,344
43,Libya,1342,38,307
44,Guinea-Bissau,1842,26,773
45,Mali,2404,121,1650
46,Botswana,314,1,31
47,Burundi,191,1,118
48,Sierra Leone,1613,63,1133
49,Malawi,2069,31,379
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,727,14,284
53,Comoros,314,7,272
54,Lesotho,184,1,26
