,Country,07-16-2020_confirmed,07-16-2020_deaths,07-16-2020_recovered
0,Algeria,21355,1052,15107
1,Angola,607,28,124
2,Benin,1463,28,557
3,Burkina Faso,1038,53,882
4,Cabo Verde,1894,19,902
5,Cameroon,16157,373,13728
6,Central African Republic,4373,53,1265
7,Chad,886,75,799
8,Congo (Brazzaville),2358,48,589
9,Congo (Kinshasa),8199,193,4248
10,Cote d'Ivoire,13554,87,7363
11,Djibouti,4993,56,4796
12,Egypt,85771,4120,26691
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,149
15,Eswatini,1552,21,736
16,Ethiopia,8475,148,2430
17,Gabon,6121,46,3664
18,Gambia,78,3,34
19,Ghana,26125,139,22270
20,Guinea,6359,39,5012
21,Kenya,11673,217,3638
22,Liberia,1070,68,486
23,Madagascar,6089,53,2951
24,Mauritania,5659,150,2993
25,Mauritius,343,10,331
26,Morocco,16545,263,13965
27,Namibia,1032,2,31
28,Niger,1102,69,993
29,Nigeria,34854,769,14292
30,Rwanda,1473,4,770
31,Senegal,8481,156,5735
32,Seychelles,108,0,27
33,Somalia,3106,93,1444
34,South Africa,324221,4669,165591
35,Sudan,10527,668,5601
36,Tanzania,509,21,183
37,Togo,749,15,543
38,Tunisia,1327,50,1093
39,Uganda,1051,0,1014
40,Zambia,1895,42,1412
41,Zimbabwe,1362,23,425
42,Mozambique,1383,9,375
43,Libya,1652,46,379
44,Guinea-Bissau,1902,26,773
45,Mali,2440,121,1777
46,Botswana,522,1,48
47,Burundi,303,1,207
48,Sierra Leone,1678,64,1213
49,Malawi,2712,51,1073
50,South Sudan,2171,41,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,740,14,325
53,Comoros,328,7,311
54,Lesotho,256,3,48
