,Country,07-30-2020_confirmed,07-30-2020_deaths,07-30-2020_recovered
0,Algeria,29831,1200,20082
1,Angola,1109,51,395
2,Benin,1805,36,1036
3,Burkina Faso,1106,53,935
4,Cabo Verde,2418,23,1694
5,Cameroon,17255,391,15320
6,Central African Republic,4605,59,1574
7,Chad,935,75,813
8,Congo (Brazzaville),3200,54,829
9,Congo (Kinshasa),9010,215,6437
10,Cote d'Ivoire,15978,100,11160
11,Djibouti,5081,58,4999
12,Egypt,93757,4774,38236
13,Equatorial Guinea,3071,51,842
14,Eritrea,279,0,225
15,Eswatini,2577,40,1134
16,Ethiopia,16615,263,6763
17,Gabon,7352,49,4943
18,Gambia,403,8,66
19,Ghana,35142,175,31286
20,Guinea,7242,46,6438
21,Kenya,19913,325,8121
22,Liberia,1181,73,667
23,Madagascar,10748,105,7461
24,Mauritania,6295,157,4889
25,Mauritius,344,10,332
26,Morocco,23259,346,17311
27,Namibia,2052,10,164
28,Niger,1134,69,1028
29,Nigeria,42689,878,19270
30,Rwanda,1994,5,1085
31,Senegal,10106,204,6725
32,Seychelles,114,0,39
33,Somalia,3212,93,1562
34,South Africa,482169,7812,309601
35,Sudan,11496,725,6001
36,Tanzania,509,21,183
37,Togo,908,18,626
38,Tunisia,1514,50,1187
39,Uganda,1147,2,1028
40,Zambia,5555,149,3289
41,Zimbabwe,3092,53,924
42,Mozambique,1808,11,638
43,Libya,3438,73,604
44,Guinea-Bissau,1981,26,803
45,Mali,2522,124,1931
46,Botswana,804,2,63
47,Burundi,387,1,304
48,Sierra Leone,1818,67,1362
49,Malawi,3858,107,1760
50,South Sudan,2322,46,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,870,15,771
53,Comoros,378,7,330
54,Lesotho,604,13,144
