,Country,07-26-2020_confirmed,07-26-2020_deaths,07-26-2020_recovered
0,Algeria,27357,1155,18088
1,Angola,932,40,242
2,Benin,1770,35,1036
3,Burkina Faso,1086,53,920
4,Cabo Verde,2307,22,1447
5,Cameroon,16708,385,14539
6,Central African Republic,4599,59,1546
7,Chad,915,75,810
8,Congo (Brazzaville),3038,51,756
9,Congo (Kinshasa),8831,204,5510
10,Cote d'Ivoire,15596,96,10178
11,Djibouti,5050,58,4966
12,Egypt,92062,4606,33831
13,Equatorial Guinea,3071,51,842
14,Eritrea,263,0,189
15,Eswatini,2207,32,986
16,Ethiopia,13968,223,6216
17,Gabon,6984,49,4463
18,Gambia,277,6,60
19,Ghana,32969,168,29494
20,Guinea,7008,43,6152
21,Kenya,17603,280,7743
22,Liberia,1162,72,641
23,Madagascar,9295,85,5579
24,Mauritania,6171,156,4430
25,Mauritius,344,10,332
26,Morocco,20278,313,16438
27,Namibia,1775,8,75
28,Niger,1136,69,1027
29,Nigeria,40532,858,17374
30,Rwanda,1821,5,918
31,Senegal,9681,191,6409
32,Seychelles,114,0,39
33,Somalia,3178,93,1521
34,South Africa,445433,6769,265077
35,Sudan,11385,717,5890
36,Tanzania,509,21,183
37,Togo,868,18,599
38,Tunisia,1452,50,1142
39,Uganda,1115,2,982
40,Zambia,4481,139,2350
41,Zimbabwe,2512,34,518
42,Mozambique,1669,11,593
43,Libya,2669,60,553
44,Guinea-Bissau,1954,26,803
45,Mali,2510,123,1911
46,Botswana,686,1,52
47,Burundi,361,1,279
48,Sierra Leone,1783,66,1313
49,Malawi,3640,99,1639
50,South Sudan,2262,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,863,14,696
53,Comoros,354,7,328
54,Lesotho,505,12,128
