,Country,07-09-2020_confirmed,07-09-2020_deaths,07-09-2020_recovered
0,Algeria,17808,988,12637
1,Angola,396,22,117
2,Benin,1285,23,333
3,Burkina Faso,1005,53,862
4,Cabo Verde,1552,18,730
5,Cameroon,14916,359,11525
6,Central African Republic,4200,52,1142
7,Chad,873,74,788
8,Congo (Brazzaville),1821,47,525
9,Congo (Kinshasa),7846,189,3513
10,Cote d'Ivoire,11750,79,5752
11,Djibouti,4955,56,4671
12,Egypt,79254,3617,22753
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1213,17,609
16,Ethiopia,6973,120,2430
17,Gabon,5871,46,2682
18,Gambia,63,3,32
19,Ghana,23463,129,18622
20,Guinea,5881,36,4672
21,Kenya,8975,173,2657
22,Liberia,957,42,398
23,Madagascar,3782,33,1950
24,Mauritania,5126,144,2026
25,Mauritius,342,10,330
26,Morocco,15079,242,11447
27,Namibia,615,0,25
28,Niger,1097,68,976
29,Nigeria,30748,689,12546
30,Rwanda,1210,3,623
31,Senegal,7784,143,5169
32,Seychelles,94,0,11
33,Somalia,3038,92,1209
34,South Africa,238339,3720,113061
35,Sudan,10158,641,5200
36,Tanzania,509,21,183
37,Togo,704,15,483
38,Tunisia,1231,50,1055
39,Uganda,1000,0,908
40,Zambia,1895,42,1348
41,Zimbabwe,885,9,206
42,Mozambique,1092,9,340
43,Libya,1342,38,307
44,Guinea-Bissau,1790,25,760
45,Mali,2370,120,1621
46,Botswana,314,1,31
47,Burundi,191,1,118
48,Sierra Leone,1598,63,1123
49,Malawi,1942,25,369
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,726,14,283
53,Comoros,314,7,272
54,Lesotho,134,1,20
