,Country,07-21-2020_confirmed,07-21-2020_deaths,07-21-2020_recovered
0,Algeria,24278,1100,16646
1,Angola,779,30,221
2,Benin,1602,31,782
3,Burkina Faso,1065,53,901
4,Cabo Verde,2107,21,1100
5,Cameroon,16522,382,13728
6,Central African Republic,4561,55,1411
7,Chad,889,75,803
8,Congo (Brazzaville),2851,50,666
9,Congo (Kinshasa),8534,196,4528
10,Cote d'Ivoire,14531,93,8857
11,Djibouti,5027,56,4884
12,Egypt,89078,4399,29473
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1894,24,855
16,Ethiopia,11072,180,5448
17,Gabon,6433,46,4034
18,Gambia,112,4,57
19,Ghana,28989,153,25331
20,Guinea,6652,41,5771
21,Kenya,14168,250,6258
22,Liberia,1108,70,575
23,Madagascar,7548,65,4286
24,Mauritania,5985,155,3826
25,Mauritius,343,10,332
26,Morocco,17742,280,15389
27,Namibia,1366,7,57
28,Niger,1113,69,1018
29,Nigeria,37801,805,15677
30,Rwanda,1655,5,848
31,Senegal,8985,174,6044
32,Seychelles,108,0,27
33,Somalia,3135,93,1464
34,South Africa,381798,5368,208144
35,Sudan,10992,693,5707
36,Tanzania,509,21,183
37,Togo,790,15,560
38,Tunisia,1389,50,1103
39,Uganda,1072,0,958
40,Zambia,3386,128,1620
41,Zimbabwe,1820,26,488
42,Mozambique,1536,11,506
43,Libya,2088,50,479
44,Guinea-Bissau,1954,26,803
45,Mali,2477,122,1856
46,Botswana,522,1,48
47,Burundi,328,1,207
48,Sierra Leone,1727,66,1273
49,Malawi,3045,64,1180
50,South Sudan,2211,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,746,14,588
53,Comoros,337,7,319
54,Lesotho,359,6,69
