,Country,07-28-2020_confirmed,07-28-2020_deaths,07-28-2020_recovered
0,Algeria,28615,1174,19233
1,Angola,1000,47,266
2,Benin,1770,35,1036
3,Burkina Faso,1105,53,926
4,Cabo Verde,2354,22,1616
5,Cameroon,17179,391,14539
6,Central African Republic,4599,59,1546
7,Chad,926,75,810
8,Congo (Brazzaville),3200,54,829
9,Congo (Kinshasa),8873,208,5930
10,Cote d'Ivoire,15713,98,10537
11,Djibouti,5068,58,4992
12,Egypt,92947,4691,35959
13,Equatorial Guinea,3071,51,842
14,Eritrea,265,0,191
15,Eswatini,2404,39,1025
16,Ethiopia,15200,239,6526
17,Gabon,7189,49,4682
18,Gambia,326,8,66
19,Ghana,34406,168,30621
20,Guinea,7126,46,6312
21,Kenya,18581,299,7908
22,Liberia,1177,72,646
23,Madagascar,10104,93,6613
24,Mauritania,6249,156,4683
25,Mauritius,344,10,332
26,Morocco,21387,327,17066
27,Namibia,1917,8,104
28,Niger,1132,69,1027
29,Nigeria,41804,868,18764
30,Rwanda,1926,5,1005
31,Senegal,9805,198,6591
32,Seychelles,114,0,39
33,Somalia,3212,93,1562
34,South Africa,459761,7257,287313
35,Sudan,11496,725,6001
36,Tanzania,509,21,183
37,Togo,896,18,612
38,Tunisia,1468,50,1168
39,Uganda,1135,2,989
40,Zambia,5002,142,3195
41,Zimbabwe,2817,40,604
42,Mozambique,1720,11,602
43,Libya,3017,67,579
44,Guinea-Bissau,1954,26,803
45,Mali,2520,124,1919
46,Botswana,739,2,63
47,Burundi,378,1,301
48,Sierra Leone,1786,66,1336
49,Malawi,3709,103,1667
50,South Sudan,2305,46,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,867,14,759
53,Comoros,354,7,328
54,Lesotho,505,12,128
