,Country,07-22-2020_confirmed,07-22-2020_deaths,07-22-2020_recovered
0,Algeria,24872,1111,16983
1,Angola,812,33,221
2,Benin,1690,34,782
3,Burkina Faso,1066,53,917
4,Cabo Verde,2154,21,1132
5,Cameroon,16522,382,13728
6,Central African Republic,4574,57,1437
7,Chad,889,75,805
8,Congo (Brazzaville),2851,50,666
9,Congo (Kinshasa),8626,197,4790
10,Cote d'Ivoire,14733,93,8995
11,Djibouti,5030,58,4904
12,Egypt,89745,4440,30075
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1938,25,876
16,Ethiopia,11524,188,5506
17,Gabon,6588,47,4235
18,Gambia,146,5,57
19,Ghana,29672,153,26090
20,Guinea,6747,41,5891
21,Kenya,14805,260,6757
22,Liberia,1114,70,592
23,Madagascar,8162,69,4662
24,Mauritania,6027,155,3977
25,Mauritius,343,10,332
26,Morocco,17962,285,15636
27,Namibia,1402,7,64
28,Niger,1122,69,1018
29,Nigeria,38344,813,15815
30,Rwanda,1689,5,867
31,Senegal,9121,177,6108
32,Seychelles,108,0,27
33,Somalia,3161,93,1495
34,South Africa,394948,5940,229175
35,Sudan,11237,708,5835
36,Tanzania,509,21,183
37,Togo,806,16,578
38,Tunisia,1394,50,1108
39,Uganda,1075,0,958
40,Zambia,3583,128,1677
41,Zimbabwe,2034,26,510
42,Mozambique,1557,11,523
43,Libya,2176,53,489
44,Guinea-Bissau,1954,26,803
45,Mali,2494,123,1869
46,Botswana,522,1,48
47,Burundi,328,1,207
48,Sierra Leone,1731,66,1288
49,Malawi,3302,76,1282
50,South Sudan,2211,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,747,14,601
53,Comoros,337,7,319
54,Lesotho,359,6,69
