,Country,07-27-2020_confirmed,07-27-2020_deaths,07-27-2020_recovered
0,Algeria,27973,1163,18837
1,Angola,950,41,242
2,Benin,1770,35,1036
3,Burkina Faso,1100,53,926
4,Cabo Verde,2328,22,1550
5,Cameroon,17110,391,14539
6,Central African Republic,4599,59,1546
7,Chad,922,75,810
8,Congo (Brazzaville),3200,54,829
9,Congo (Kinshasa),8844,208,5700
10,Cote d'Ivoire,15655,96,10361
11,Djibouti,5059,58,4977
12,Egypt,92482,4652,34838
13,Equatorial Guinea,3071,51,842
14,Eritrea,265,0,191
15,Eswatini,2316,34,1025
16,Ethiopia,14547,228,6386
17,Gabon,7189,49,4682
18,Gambia,326,8,66
19,Ghana,33624,168,29801
20,Guinea,7055,45,6257
21,Kenya,17975,285,7833
22,Liberia,1167,72,646
23,Madagascar,9690,91,6260
24,Mauritania,6208,156,4653
25,Mauritius,344,10,332
26,Morocco,20887,316,16553
27,Namibia,1843,8,101
28,Niger,1132,69,1027
29,Nigeria,41180,860,18203
30,Rwanda,1879,5,975
31,Senegal,9764,194,6477
32,Seychelles,114,0,39
33,Somalia,3196,93,1543
34,South Africa,452529,7067,274925
35,Sudan,11424,720,5939
36,Tanzania,509,21,183
37,Togo,874,18,607
38,Tunisia,1455,50,1157
39,Uganda,1128,2,986
40,Zambia,4552,140,2815
41,Zimbabwe,2704,36,542
42,Mozambique,1701,11,596
43,Libya,2827,64,577
44,Guinea-Bissau,1954,26,803
45,Mali,2513,124,1913
46,Botswana,739,2,63
47,Burundi,378,1,301
48,Sierra Leone,1783,66,1317
49,Malawi,3664,99,1645
50,South Sudan,2305,46,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,865,14,734
53,Comoros,354,7,328
54,Lesotho,505,12,128
