,Country,07-19-2020_confirmed,07-19-2020_deaths,07-19-2020_recovered
0,Algeria,23084,1078,16051
1,Angola,705,29,221
2,Benin,1602,31,782
3,Burkina Faso,1052,53,901
4,Cabo Verde,2045,21,973
5,Cameroon,16157,373,13728
6,Central African Republic,4485,55,1348
7,Chad,889,75,801
8,Congo (Brazzaville),2633,49,626
9,Congo (Kinshasa),8403,194,4335
10,Cote d'Ivoire,14119,92,8366
11,Djibouti,5011,56,4838
12,Egypt,87775,4302,28380
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1793,21,822
16,Ethiopia,9503,167,2430
17,Gabon,6315,46,3865
18,Gambia,93,4,49
19,Ghana,27667,148,23249
20,Guinea,6544,39,5511
21,Kenya,13353,234,5122
22,Liberia,1091,70,534
23,Madagascar,7049,59,3498
24,Mauritania,5873,155,3436
25,Mauritius,343,10,331
26,Morocco,17236,273,14921
27,Namibia,1247,3,35
28,Niger,1104,69,1014
29,Nigeria,36663,789,15105
30,Rwanda,1582,5,834
31,Senegal,8810,167,5948
32,Seychelles,108,0,27
33,Somalia,3119,93,1457
34,South Africa,364328,5033,191059
35,Sudan,10992,693,5707
36,Tanzania,509,21,183
37,Togo,778,15,551
38,Tunisia,1374,50,1097
39,Uganda,1065,0,1023
40,Zambia,2980,120,1462
41,Zimbabwe,1611,25,472
42,Mozambique,1491,10,472
43,Libya,1866,48,418
44,Guinea-Bissau,1949,26,803
45,Mali,2475,121,1828
46,Botswana,522,1,48
47,Burundi,310,1,207
48,Sierra Leone,1711,65,1237
49,Malawi,2907,59,1135
50,South Sudan,2200,43,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,746,14,451
53,Comoros,334,7,313
54,Lesotho,359,6,69
