,Country,07-25-2020_confirmed,07-25-2020_deaths,07-25-2020_recovered
0,Algeria,26764,1146,18076
1,Angola,916,39,242
2,Benin,1694,34,918
3,Burkina Faso,1086,53,920
4,Cabo Verde,2258,22,1363
5,Cameroon,16708,385,14539
6,Central African Republic,4598,59,1506
7,Chad,915,75,810
8,Congo (Brazzaville),3038,51,756
9,Congo (Kinshasa),8801,204,5305
10,Cote d'Ivoire,15494,94,9880
11,Djibouti,5039,58,4949
12,Egypt,91583,4558,32903
13,Equatorial Guinea,3071,51,842
14,Eritrea,263,0,189
15,Eswatini,2142,28,940
16,Ethiopia,13248,209,5966
17,Gabon,6984,49,4463
18,Gambia,277,6,60
19,Ghana,31851,161,28438
20,Guinea,6927,42,6098
21,Kenya,16643,278,7574
22,Liberia,1155,71,631
23,Madagascar,8866,78,5579
24,Mauritania,6151,156,4299
25,Mauritius,344,10,332
26,Morocco,19645,305,16282
27,Namibia,1687,7,72
28,Niger,1124,69,1025
29,Nigeria,39977,856,16948
30,Rwanda,1752,5,907
31,Senegal,9552,187,6364
32,Seychelles,114,0,39
33,Somalia,3178,93,1521
34,South Africa,434200,6655,263054
35,Sudan,11385,717,5890
36,Tanzania,509,21,183
37,Togo,853,17,587
38,Tunisia,1443,50,1133
39,Uganda,1103,1,982
40,Zambia,4328,139,1953
41,Zimbabwe,2434,34,518
42,Mozambique,1616,11,543
43,Libya,2547,58,510
44,Guinea-Bissau,1954,26,803
45,Mali,2503,123,1907
46,Botswana,686,1,52
47,Burundi,361,1,279
48,Sierra Leone,1768,66,1297
49,Malawi,3453,87,1373
50,South Sudan,2258,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,862,14,662
53,Comoros,340,7,324
54,Lesotho,419,9,69
