,Country,07-23-2020_confirmed,07-23-2020_deaths,07-23-2020_recovered
0,Algeria,25484,1124,17369
1,Angola,851,33,236
2,Benin,1694,34,918
3,Burkina Faso,1070,53,919
4,Cabo Verde,2190,21,1150
5,Cameroon,16522,382,13728
6,Central African Republic,4590,58,1452
7,Chad,915,75,805
8,Congo (Brazzaville),2851,50,666
9,Congo (Kinshasa),8720,201,5105
10,Cote d'Ivoire,15001,93,9282
11,Djibouti,5031,58,4927
12,Egypt,90413,4480,31066
13,Equatorial Guinea,3071,51,842
14,Eritrea,261,0,189
15,Eswatini,2021,28,882
16,Ethiopia,11933,197,5645
17,Gabon,6588,47,4235
18,Gambia,170,5,58
19,Ghana,29672,153,26090
20,Guinea,6806,42,5999
21,Kenya,15601,263,7135
22,Liberia,1117,71,613
23,Madagascar,8381,70,5160
24,Mauritania,6067,156,4086
25,Mauritius,343,10,332
26,Morocco,18264,292,15872
27,Namibia,1522,7,69
28,Niger,1124,69,1022
29,Nigeria,38948,833,16061
30,Rwanda,1710,5,889
31,Senegal,9266,178,6170
32,Seychelles,108,0,27
33,Somalia,3171,93,1499
34,South Africa,408052,6093,236260
35,Sudan,11237,708,5835
36,Tanzania,509,21,183
37,Togo,828,16,584
38,Tunisia,1406,50,1118
39,Uganda,1079,0,971
40,Zambia,3789,134,1677
41,Zimbabwe,2124,28,510
42,Mozambique,1582,11,528
43,Libya,2314,56,501
44,Guinea-Bissau,1954,26,803
45,Mali,2494,123,1889
46,Botswana,592,1,48
47,Burundi,345,1,270
48,Sierra Leone,1752,66,1292
49,Malawi,3302,76,1282
50,South Sudan,2239,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,749,14,604
53,Comoros,340,7,324
54,Lesotho,359,6,69
