,Country,07-18-2020_confirmed,07-18-2020_deaths,07-18-2020_recovered
0,Algeria,22549,1068,15744
1,Angola,687,29,210
2,Benin,1602,31,782
3,Burkina Faso,1047,53,887
4,Cabo Verde,2014,21,913
5,Cameroon,16157,373,13728
6,Central African Republic,4485,55,1348
7,Chad,889,75,800
8,Congo (Brazzaville),2633,49,626
9,Congo (Kinshasa),8324,193,4313
10,Cote d'Ivoire,13912,91,8000
11,Djibouti,5003,56,4809
12,Egypt,87172,4251,27868
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1729,21,788
16,Ethiopia,9147,163,2430
17,Gabon,6315,46,3865
18,Gambia,93,4,49
19,Ghana,27060,145,23044
20,Guinea,6491,39,5257
21,Kenya,12750,225,4440
22,Liberia,1088,70,519
23,Madagascar,6849,55,3339
24,Mauritania,5813,153,3279
25,Mauritius,343,10,331
26,Morocco,17015,269,14620
27,Namibia,1203,2,32
28,Niger,1104,69,1014
29,Nigeria,36107,778,14938
30,Rwanda,1539,5,819
31,Senegal,8669,163,5859
32,Seychelles,108,0,27
33,Somalia,3111,93,1452
34,South Africa,350879,4948,182230
35,Sudan,10682,673,5637
36,Tanzania,509,21,183
37,Togo,774,15,548
38,Tunisia,1348,50,1095
39,Uganda,1062,0,1023
40,Zambia,2980,120,1462
41,Zimbabwe,1478,25,439
42,Mozambique,1435,10,408
43,Libya,1791,48,385
44,Guinea-Bissau,1949,26,803
45,Mali,2472,121,1809
46,Botswana,522,1,48
47,Burundi,310,1,207
48,Sierra Leone,1701,65,1237
49,Malawi,2810,55,1111
50,South Sudan,2191,43,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,743,14,337
53,Comoros,328,7,311
54,Lesotho,359,6,69
