,Country,07-12-2020_confirmed,07-12-2020_deaths,07-12-2020_recovered
0,Algeria,19195,1011,13743
1,Angola,506,26,118
2,Benin,1378,26,557
3,Burkina Faso,1036,53,869
4,Cabo Verde,1623,19,748
5,Cameroon,15173,359,11928
6,Central African Republic,4288,53,1145
7,Chad,880,75,790
8,Congo (Brazzaville),2028,47,589
9,Congo (Kinshasa),8033,189,3615
10,Cote d'Ivoire,12766,84,6654
11,Djibouti,4972,56,4712
12,Egypt,82070,3858,24419
13,Equatorial Guinea,3071,51,842
14,Eritrea,232,0,107
15,Eswatini,1351,20,668
16,Ethiopia,7560,127,2430
17,Gabon,5942,46,3004
18,Gambia,64,3,34
19,Ghana,24518,139,20187
20,Guinea,6141,37,4862
21,Kenya,10105,185,2881
22,Liberia,1010,51,423
23,Madagascar,4867,35,2378
24,Mauritania,5355,147,2363
25,Mauritius,342,10,330
26,Morocco,15745,250,12283
27,Namibia,785,1,26
28,Niger,1099,68,992
29,Nigeria,32558,740,13447
30,Rwanda,1337,4,684
31,Senegal,8135,148,5446
32,Seychelles,100,0,11
33,Somalia,3059,93,1264
34,South Africa,276242,4079,134874
35,Sudan,10250,650,5341
36,Tanzania,509,21,183
37,Togo,720,15,513
38,Tunisia,1263,50,1076
39,Uganda,1025,0,972
40,Zambia,1895,42,1412
41,Zimbabwe,985,18,328
42,Mozambique,1157,9,364
43,Libya,1433,39,341
44,Guinea-Bissau,1842,26,773
45,Mali,2411,121,1694
46,Botswana,399,1,38
47,Burundi,191,1,118
48,Sierra Leone,1635,63,1154
49,Malawi,2364,38,557
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,729,14,286
53,Comoros,317,7,296
54,Lesotho,233,2,32
