,Country,07-24-2020_confirmed,07-24-2020_deaths,07-24-2020_recovered
0,Algeria,26159,1136,17369
1,Angola,880,35,241
2,Benin,1694,34,918
3,Burkina Faso,1075,53,920
4,Cabo Verde,2220,22,1216
5,Cameroon,16708,385,14539
6,Central African Republic,4593,59,1483
7,Chad,915,75,805
8,Congo (Brazzaville),3038,51,756
9,Congo (Kinshasa),8767,201,5109
10,Cote d'Ivoire,15253,94,9499
11,Djibouti,5039,58,4949
12,Egypt,91072,4518,31970
13,Equatorial Guinea,3071,51,842
14,Eritrea,261,0,189
15,Eswatini,2073,28,929
16,Ethiopia,12693,200,5785
17,Gabon,6984,49,4463
18,Gambia,216,6,60
19,Ghana,31057,161,27801
20,Guinea,6867,42,6063
21,Kenya,16268,274,7446
22,Liberia,1135,71,621
23,Madagascar,8741,76,5522
24,Mauritania,6116,156,4206
25,Mauritius,344,10,332
26,Morocco,18834,299,16100
27,Namibia,1618,7,72
28,Niger,1124,69,1024
29,Nigeria,39539,845,16559
30,Rwanda,1729,5,900
31,Senegal,9422,182,6291
32,Seychelles,108,0,27
33,Somalia,3171,93,1499
34,South Africa,421996,6343,245771
35,Sudan,11302,715,5855
36,Tanzania,509,21,183
37,Togo,839,17,585
38,Tunisia,1425,50,1124
39,Uganda,1089,1,975
40,Zambia,3856,136,1677
41,Zimbabwe,2296,32,514
42,Mozambique,1590,11,532
43,Libya,2424,57,504
44,Guinea-Bissau,1954,26,803
45,Mali,2503,123,1901
46,Botswana,686,1,52
47,Burundi,345,1,270
48,Sierra Leone,1765,66,1297
49,Malawi,3453,87,1373
50,South Sudan,2258,45,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,860,14,610
53,Comoros,340,7,324
54,Lesotho,359,6,69
