,Country,07-29-2020_confirmed,07-29-2020_deaths,07-29-2020_recovered
0,Algeria,29229,1186,19592
1,Angola,1078,48,301
2,Benin,1805,36,1036
3,Burkina Faso,1105,53,931
4,Cabo Verde,2373,23,1694
5,Cameroon,17255,391,15320
6,Central African Republic,4605,59,1574
7,Chad,926,75,813
8,Congo (Brazzaville),3200,54,829
9,Congo (Kinshasa),8931,210,6095
10,Cote d'Ivoire,15813,99,10793
11,Djibouti,5081,58,4999
12,Egypt,93356,4728,37025
13,Equatorial Guinea,3071,51,842
14,Eritrea,265,0,191
15,Eswatini,2551,40,1070
16,Ethiopia,15810,253,6685
17,Gabon,7352,49,4943
18,Gambia,326,8,66
19,Ghana,35142,175,31286
20,Guinea,7183,46,6404
21,Kenya,19125,311,8021
22,Liberia,1179,72,664
23,Madagascar,10317,99,7117
24,Mauritania,6273,156,4776
25,Mauritius,344,10,332
26,Morocco,22213,334,17125
27,Namibia,1986,9,104
28,Niger,1132,69,1027
29,Nigeria,42208,873,19004
30,Rwanda,1963,5,1036
31,Senegal,9961,200,6655
32,Seychelles,114,0,39
33,Somalia,3212,93,1562
34,South Africa,471123,7497,297967
35,Sudan,11496,725,6001
36,Tanzania,509,21,183
37,Togo,896,18,612
38,Tunisia,1488,50,1178
39,Uganda,1140,2,1028
40,Zambia,5249,146,3285
41,Zimbabwe,2879,41,887
42,Mozambique,1748,11,616
43,Libya,3222,76,596
44,Guinea-Bissau,1954,26,803
45,Mali,2521,124,1927
46,Botswana,804,2,63
47,Burundi,387,1,304
48,Sierra Leone,1803,67,1355
49,Malawi,3738,103,1728
50,South Sudan,2322,46,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,868,15,766
53,Comoros,378,7,330
54,Lesotho,576,13,141
