,Country,07-17-2020_confirmed,07-17-2020_deaths,07-17-2020_recovered
0,Algeria,21948,1057,15430
1,Angola,638,29,199
2,Benin,1602,31,782
3,Burkina Faso,1045,53,887
4,Cabo Verde,1939,19,902
5,Cameroon,16157,373,13728
6,Central African Republic,4389,53,1288
7,Chad,887,75,800
8,Congo (Brazzaville),2633,49,626
9,Congo (Kinshasa),8249,193,4248
10,Cote d'Ivoire,13696,87,7607
11,Djibouti,5003,56,4809
12,Egypt,86474,4188,27302
13,Equatorial Guinea,3071,51,842
14,Eritrea,251,0,155
15,Eswatini,1619,21,769
16,Ethiopia,8803,150,2430
17,Gabon,6315,46,3865
18,Gambia,78,3,34
19,Ghana,26572,144,22915
20,Guinea,6430,39,5233
21,Kenya,12062,222,3983
22,Liberia,1085,69,496
23,Madagascar,6467,54,3108
24,Mauritania,5710,151,3153
25,Mauritius,343,10,331
26,Morocco,16726,264,14360
27,Namibia,1078,2,32
28,Niger,1102,69,1013
29,Nigeria,35454,772,14633
30,Rwanda,1485,4,811
31,Senegal,8544,160,5809
32,Seychelles,108,0,27
33,Somalia,3106,93,1444
34,South Africa,337594,4804,178183
35,Sudan,10527,668,5601
36,Tanzania,509,21,183
37,Togo,766,15,546
38,Tunisia,1336,50,1095
39,Uganda,1056,0,1023
40,Zambia,2810,109,1450
41,Zimbabwe,1420,24,438
42,Mozambique,1402,9,397
43,Libya,1704,47,380
44,Guinea-Bissau,1927,26,773
45,Mali,2467,121,1791
46,Botswana,522,1,48
47,Burundi,310,1,207
48,Sierra Leone,1688,65,1219
49,Malawi,2805,55,1107
50,South Sudan,2191,43,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,741,14,325
53,Comoros,328,7,311
54,Lesotho,311,6,69
